Region,Codes
Midtown,00569
Downtown,00749
Old Fourth Ward,01027
Pine Hills,01207
North Buckhead,01266
Morningside - Lenox Park,01268
Virginia Highland,01420
Grant Park,01468
Kirkwood,01614
Home Park,01620
Collier Heights,01809
Campbellton Road,02087
Grove Park,02124
East Atlanta,02180
Lindridge - Martin Manor,02245
Sylvan Hills,02248
West End,02259
Peachtree Heights West,02340
Chosewood Park,02346
Glenrose Heights,02366
Ormewood Park,02502
Greenbriar,02510
Inman Park,02546
Underwood Hills,02567
Venetian Hills,02568
Chastain Park,02571
Oakland City,02584
Garden Hills,02586
Candler Park,02751
Pittsburgh,02756
Southwest,02793
English Avenue,02864
West View,02871
Center Hill,02888
Adamsville,02948
Lakewood Heights,02977
Reynoldstown,02994
Perkerson,03044
East Lake,03068
Summerhill,03088
Brookhaven,03127
Peachtree Hills,03130
Poncey-Highland,03136
Lake Claire,03181
Paces,03182
Peoplestown,03204
Cascade Avenue-Road,03248
Bolton,03303
Browns Mill Park,03307
Buckhead Forest,03308
Vine City,03345
Brookwood Hills,03401
Mt. Paran - Northside,03406
Princeton Lakes,03434
Peachtree Battle Alliance,03517
Castleberry Hill,03541
Capitol View,03579
Ridgedale Park,03685
Adams Park,03696
Atlantic Station,03742
Lenox,03751
Ansley Park,03789
Dixie Hills,03798
Hills Park,03837
Mozley Park,03856
Cascade Heights,03863
Buckhead Village,03870
Druid Hills,03883
South Atlanta,03898
Loring Heights,03968
East Chastain Park,04091
West Paces Ferry - Northside,04117
Fairburn Heights,04126
Brookwood,04160
Washington Park,04204
Peachtree Park,04205
Polar Rock,04206
Ardmore,04217
Springlake,04232
Midwest Cascade,04233
Peachtree Heights East,04260
Cabbagetown,04324
Margaret Mitchell,04351
Florida Heights,04406
Edgewood,04538
Lindbergh,04566
Lakewood,04587
Mechanicsville,04615
Cross Creek,04624
Riverside,04627
Hammond Park,04654
South River Gardens,04720
Bankhead,05526
Ashview Heights,05764
Sweet Auburn,06137
Piedmont Heights,06174
Fairburn Mays,06191
Harland Terrace,06198
Marietta Street Artery,06272
Almond Park,06275
Kings Forest,06278
Ben Hill,06284
Adair Park,06325
Wildwood,06345
Berkeley Park,06350
Cluster - McDonough - Guice,06356
The Villages at East Lake,06383
South Tuxedo Park,06418
Blandtown,06430
Scotts Crossing,06458
Orchard Knob,06482
Niskey Lake,06499
Capitol Gateway,06502
Rockdale,06503
The Villages at Carver,06516
Mays,06528
Joyland,06536
Swallow Circle - Baywood,06551
Channing Valley,06556
Deerwood,06560
Whittier Mill Village,06570
Boulevard Heights,06573
Blair Villa - Poole Creek,06585
Elmco Estates,06598
Woodland Hills,06599
Randall Mill,06610
Rebel Valley Forest,06615
Colonial Homes,06636
Oakland,06640
Carey Park,06884
Tuxedo Park,06886
Peyton Forest,06914
Brandon,06920
Wilson Mill Meadows,06936
West Lake,06951
West Highlands,06964
Leila Valley,07069
Benteen Park,07071
Audobon Forest,07078
Collier Hills,07100
Heritage Valley,07229
Castlewood,07263
Atkins Park,07294
Collier Hills North,07296
Harris Chiles,07307
Beecher Hills,07371
Westwood Terrace,07383
Westhaven,07451
Kingswood,07455
Baker Hills,07473
Ridgewood Heights,07480
Carver Hills,07494
Lincoln Homes,07496
Monroe Heights,07532
High Point,07547
Wyngate,07560
Whitewater Creek,07565
Ben Hill Forest,07593
Wisteria Gardens,07594
Capitol View Manor,07612
Magnum Manor,07627
Westminster - Milmar,07642
Sherwood Forest,07645
Pleasant Hill,07684
Argonne Forest,07709
Betmar LaVilla,07735
Bush Mountain,07736
Wesley Battle,07742
Audobon Forest West,07766
Fairburn,07774
Arden - Habersham,07778
Fernleaf,07837
Bankhead-Bolton,07855
Fairway Acres,07856
Westover Plantation,07864
Sandlewood Estates,07939
Niskey Cove,07943
Cascade Green,08245
Norwood Manor,08426
Boulder Park,08477
Hanover West,08493
Pomona Park,08550
Penelope Neighbors,08561
Rosedale Heights,08564
West Manor,08640
Memorial Park,08716
Meadowbrook Forest,08757
Briar Glen,08769
Green Forest Acres,08774
Brentwood,08810
Ben Hill Pines,08811
Ben Hill Terrace,09131
Oakcliff,09214
Ben Hill Acres,09234
Laurens Valley,09241
Fairburn Road - Wisteria Lane,09266
Atlanta Industrial Park,09298
Woodfield,09299
Old Gordon,09301
Butner-Tell,09309
Fairburn Tell,09316
Ivan Hill,09402
Mt. Paran Pkwy,09421
East Ardley Road,09437
Chalet Woods,09459
Bakers Ferry,09486
Mt. Gilead Woods,09508
Bolton Hills,09531
Just Us,09536
Wildwood Forest,09542
Green Acres Valley,09574
Mellwood,09583
Rue Royal,09590
Ridgecrest Forest,09595
Greenbriar Village,09599
Horseshoe Community,09643
Tampa Park,09666
English Park,09682
Sandtown-Southeastern Atlanta,09694
Old Fairburn Village,09714
Harvel Homes Community,09751